sector,indicator,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,source
3,"Gross debt, General government, Domestic currency",Billions,,,,,,,,,,,,,,,,,,,,,138816.71,155345.736,188511.867,232387.381,290556.451,332713.257,407714.014,509893.132,637028.122,830872.385,1021579.175,1280904.326,1561465.077,1852670.412,2154635.906,2394063.015,2700133.149,2934289.125,3069821.183,3159438.355,3323866.688,3330246.236,3360113.307,3535382.578,3599500.041,4057588.119,4403832.863,4743245.054,5089799.928,5459725.66,5860710.158,IMF
1,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",Units VND,133.89,184.121,390.56,613.65,1076.108,2136.357,12707.816,53094.143,222998.901,550688.722,789051.562,1416339.157,2004884.745,2500439.132,3129773.349,3947305.427,4616871.037,5240276.844,5940273.133,6482797.033,7063012.525,7594347.321,8343336.806,9463992.835,11913182.17,13843379.27,15929228.92,18532644.87,23792321.06,26375675.68,31146029.41,40289838.31,45870897.42,49840469.25,54415204.86,56603826.6,60838178.07,67191171.6,74039698.84,79880604.97,82436597.16,86161841.59,96734439.69,102885196.1,113641334.7,123942287.7,134513804.3,145552040.6,157073203.6,168805595.5,181540132.6,IMF
2,"Current account balance (credit less debit), Percent of GDP",Units,-1.599,-4.197,-2.635,-1.946,-1.602,-4.951,-3.441,-2.6,-2.607,-7.308,-3.152,-1.375,-0.062,-8.335,-9.038,-10.029,-6.443,-4.475,-3.971,3.23,2.147,2.228,-1.407,-3.844,-2.53,-0.765,-0.194,-7.104,-8.646,-5.122,-2.986,0.136,4.748,3.64,3.7,-0.861,0.248,-0.596,1.895,3.76,4.349,-2.202,0.341,6.372,6.64,4.047,2.422,1.75,1.347,1.233,1.132,IMF
3,"Net lending (+) / net borrowing (-), General government, Percent of GDP",Units,,,,,,,,,,,,,,,,,,,-0.099,-1.246,-1.605,-2.192,-1.855,-2.559,-0.15,-0.954,0.201,-1.739,-0.447,-4.824,-2.251,-0.901,-5.462,-5.964,-5.017,-4.983,-3.164,-1.964,-1.021,-0.397,-2.861,-1.432,0.671,-1.718,-1.536,-3.259,-2.337,-2.152,-2.063,-2.038,-2.034,IMF
1,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",Units,1653.897,1714.029,1817.901,1910.599,2032.141,2105.358,2132.817,2138.732,2205.329,2330.588,2348.901,2440.046,2605.53,2767.712,2962.016,3191.833,3434.556,3657.033,3808.937,3931.344,4142.009,4368.491,4616.681,4909.402,5243.324,5587.267,5921.703,6284.325,6576.7,6864.144,7232.35,7705.568,8042.861,8399.651,8843.587,9359.948,9880.359,10455.926,11118.43,11711.748,11911.695,12101.363,13008.338,13551.767,14370.773,15169.814,15897.678,16703.47,17532.535,18352.903,19221.351,IMF
2,"Exports of goods, Volume, Free on board (FOB), Percent change",Units,-43.145,-22.534,5.512,46.461,21.977,13.196,29.093,18.607,2.457,-28.041,32.598,32.633,51.364,22.835,26.915,13.473,36.174,24.432,-4.046,14.787,-1.856,4.007,11.173,20.609,31.446,7.575,14.366,13.7,3.216,6.471,6.356,9.827,15.03,18.408,12.294,15.278,11.799,17.823,12.075,4.766,7.648,14.892,4.228,-5.272,19.382,5.095,0.601,2.211,4.508,5.805,5.891,IMF
2,"Current account balance (credit less debit), US dollar",Billions,-0.565,-0.739,-0.616,-0.685,-0.98,-0.943,-1.48,-1.388,-0.769,-0.584,-0.259,-0.133,-0.008,-1.395,-1.872,-2.648,-2.02,-1.528,-1.373,1.177,0.85,0.92,-0.627,-1.931,-1.591,-0.56,-0.164,-6.992,-10.787,-6.608,-4.276,0.233,9.267,7.744,8.617,-2.039,0.625,-1.651,5.769,12.477,15.06,-8.15,1.404,27.59,30.509,19.616,12.376,9.541,7.86,7.693,7.548,IMF
3,"Revenue, General government, Domestic currency",Billions,,,,,,,,,,,,,,,,,,,72965,78490,90749,103888,121716,152957,190893.149,228293.43,279477.601,325442.645,429527.029,462880.395,588235.718,719405.231,733448.247,827313.026,875742.475,996234.226,1075248,1231421.3,1363869.014,1496315.4,1479360.81,1586553.2,1815340,1761006,2023795.633,2334632.253,2457374.635,2680407.159,2944200.704,3183747.588,3440702.098,IMF
1,Unemployment rate,Units,,,,,,,,,,,12.327,10.393,11,10.6,10.3,5.82,5.88,6.01,6.85,6.74,6.42,6.28,6.01,5.78,5.6,5.31,4.82,4.64,2.38,2.9,2.88,2.22,1.96,2.18,2.1,2.33,2.3,2.24,2.19,2.17,2.48,3.2,2.32,2.3,2.2,2.25,2.5,2.311,2.279,2.211,2.184,IMF
1,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Units,,,,,,,,-34.571,266.652,34.668,66.253,67.589,17.605,5.28,15.475,29.864,9.208,-0.166,-12.845,-0.356,-0.628,0.567,3.967,2.942,9.75,8.836,6.785,12.685,20.089,6.376,11.755,18.137,6.83,6.021,1.857,0.612,4.737,2.597,2.983,5.232,0.187,1.813,4.549,3.581,2.946,3.39,3.156,3.3,3.3,3.3,3.3,IMF
2,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",Units,-28.942,-29.925,22.205,11.909,16.191,21.989,5.365,18.568,-8.306,-39.838,172.249,50,5,64.618,36.357,31.643,19.541,-3.345,0.862,-5.478,3.276,3.361,22.095,27.984,33.476,6.692,17.691,33.621,17.762,-7.329,4.247,2.805,13.764,19.62,12.913,16.134,12.855,19.436,9.526,3.684,3.487,18.203,1.11,-6.207,19.901,5.577,2.772,4.093,5.444,6.363,6.337,IMF
3,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Units,,,,,,,,,,,,,,,,,,,0.348,-0.788,-0.979,-1.458,-1.071,-1.738,0.58,-0.383,0.792,-0.939,0.368,-3.932,-1.324,-0.06,-4.483,-4.755,-3.665,-3.403,-1.625,-0.411,0.5,0.992,-1.538,-0.233,1.67,-0.853,-0.645,-2.408,-1.398,-1.222,-1.107,-1.048,-1.013,IMF
3,"Structural balance, General government, Domestic currency",Billions,,,,,,,,,,,,,,,,,,,-454,-6327,-9002,-13397,-12618,-19928.6,-1479.851,-11070.57,2703.601,-27524.434,-9175.971,-110819.695,-71845.169,-43948.435,-227407.693,-261206.935,-239860.52,-250253.741,-167773.854,-112571.781,-72205.374,-36873.933,-225759.731,-91299.173,57628.022,-170886.734,-183979.132,-419185.071,-313103.624,-315900.419,-335107.366,-361029.315,-389440.224,IMF
1,"Gross domestic product (GDP), Constant prices, Domestic currency",Billions,385896.349,408267.677,441542.633,472861.457,512568.882,541372.678,559547.118,573809.292,603073.66,650113.995,682928.381,722599.581,785464.927,848915.043,923905.307,1012050.305,1106576.022,1196780.652,1265773.144,1326195.911,1416209.068,1513855.282,1621040.942,1740044.415,1875584.209,2017139.347,2157894.824,2311741.795,2442627.688,2574477.591,2739843.17,2915553.94,3076041.91,3246870.23,3455392.13,3696825.71,3944143.68,4217874.76,4532739.4,4866315.6,5005755.65,5133589.06,5571869.25,5854085.76,6269209.96,6674040.432,7047424.635,7453356.294,7870744.247,8287893.692,8727152.057,IMF
3,"Primary net lending (+) / net borrowing (-), General government, Domestic currency",Billions,,,,,,,,,,,,,,,,,,,1596,-4000,-5488,-8912,-7288,-13533.6,5737.149,-4449.57,10668.601,-14864.434,7554.029,-90329.605,-36271.282,-2106.769,-182635.677,-212725.974,-180937.525,-176673.274,-91646,-25884.7,35018.014,76487.4,-123697.19,-19756.8,160634,-87992,-74273.798,-304924.53,-193635.808,-184312.057,-181254.815,-185507.815,-193932.969,IMF
3,"Expenditure, General government, Percent of GDP",Units,,,,,,,,,,,,,,,,,,,16.017,16.702,17.788,19.192,19.747,22.196,19.441,20.625,20.534,22.297,21.38,24.975,23.721,21.224,23.466,24.457,22.755,24.174,22.231,21.529,20.48,19.811,21.251,20.125,18.197,18.781,19.116,21.697,20.084,19.925,20.044,20.024,20.01,IMF
1,"All Items, Consumer price index (CPI), Period average",Units,0.004,0.006,0.013,0.019,0.031,0.059,0.328,1.51,7.165,14.027,19.081,34.693,47.773,51.776,57.15,66.823,70.56,72.744,78.644,81.863,80.402,80.049,83.063,85.646,92.336,100,107.664,116.683,143.882,153.512,167.543,198.849,216.986,231.29,240.744,242.302,248.784,257.544,266.661,274.114,282.94,288.137,297.235,306.904,318.027,328.847,339.241,350.436,362.001,373.947,386.287,IMF
3,"Gross debt, General government, Percent of GDP",Units,,,,,,,,,,,,,,,,,,,,,24.755,25.42,27.711,29.835,29.363,28.669,30.248,32.21,31.045,36.17,37.286,36.185,38.33,41.413,43.642,46.117,47.88,46.621,43.798,40.993,41.319,39.237,34.923,34.257,31.268,32.045,31.805,31.451,31.085,30.844,30.62,IMF
2,"Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021",Units PPP,0.231,0.28,0.527,0.758,1.206,2.241,12.896,52.432,206.294,463.867,635.678,1062.476,1377.072,1579.378,1808.587,2073.309,2213.1,2319.125,2496.015,2602.338,2631.44,2623.634,2685.697,2809.329,3224.441,3409.31,3590.716,3832.676,4612.808,4869.491,5391.916,6414.183,6868.553,7026.352,7161.464,6973.816,7033.869,7211.6,7275.826,7191.188,7064.954,7120.011,6942.558,6834.996,6946.845,7007.041,7128.368,7220.119,7304.556,7370.204,7428.746,IMF
2,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Units,-29.111,20.637,8.509,15.881,22.861,3.039,19.745,-10.247,-39.838,172.249,-11.326,9.362,19.327,65.154,46.429,32.878,20.415,0.37,0.236,-7.238,-6.54,3.481,19.69,24.802,27.502,6.952,16.827,33.336,16.488,-5.559,4.404,2.222,12,20.448,12.564,15.604,12.617,17.536,9.335,4.171,1.975,17.48,2.599,-5.223,20.623,5.437,2.467,3.951,5.264,6.16,6.155,IMF
